id,name,student,task,time,randomness,data
17061,edit-program,8618,19.0,2017-12-13T14:55:41.781361Z,227955143,"{'task_session_id': 1157, 'program': 'slfllll'}"
17062,edit-program,8620,19.0,2017-12-13T14:55:42.615258Z,374159100,"{'task_session_id': 1159, 'program': 'lff'}"
17063,edit-program,8621,19.0,2017-12-13T14:55:45.042101Z,498195612,"{'task_session_id': 1158, 'program': 'lffl'}"
17064,run-program,8618,19.0,2017-12-13T14:55:48.186129Z,920170174,"{'task_session_id': 1157, 'program': 'slfllll', 'correct': False}"
17065,run-program,8621,19.0,2017-12-13T14:55:51.737088Z,515775035,"{'task_session_id': 1158, 'program': 'lffl', 'correct': False}"
17066,edit-program,8618,19.0,2017-12-13T14:55:51.738567Z,735411815,"{'task_session_id': 1157, 'program': 'slflll'}"
17067,edit-program,8620,19.0,2017-12-13T14:55:53.200128Z,13834888,"{'task_session_id': 1159, 'program': 'lffl'}"
17068,edit-program,8618,19.0,2017-12-13T14:55:58.065781Z,1050962018,"{'task_session_id': 1157, 'program': 'slfllls'}"
17069,edit-program,8621,19.0,2017-12-13T14:55:58.517167Z,531207014,"{'task_session_id': 1158, 'program': 'slffl'}"
17070,edit-program,8619,6.0,2017-12-13T14:55:58.812466Z,410872804,"{'task_session_id': 1143, 'program': 'rfls'}"
17071,edit-program,8618,19.0,2017-12-13T14:56:00.024849Z,356333525,"{'task_session_id': 1157, 'program': 'slflllsr'}"
17072,edit-program,8620,19.0,2017-12-13T14:56:01.322585Z,401673833,"{'task_session_id': 1159, 'program': ''}"
17073,edit-program,8618,19.0,2017-12-13T14:56:01.640275Z,768966610,"{'task_session_id': 1157, 'program': 'slflllsrf'}"
17074,run-program,8621,19.0,2017-12-13T14:56:02.106520Z,797460240,"{'task_session_id': 1158, 'program': 'slffl', 'correct': False}"
17075,edit-program,8621,19.0,2017-12-13T14:56:04.381457Z,1038886717,"{'task_session_id': 1158, 'program': 'slff'}"
17076,edit-program,8617,14.0,2017-12-13T14:56:04.594057Z,313306189,"{'task_session_id': 1161, 'program': 'f'}"
17077,edit-program,8620,19.0,2017-12-13T14:56:04.600769Z,181189436,"{'task_session_id': 1159, 'program': 's'}"
17078,edit-program,8621,19.0,2017-12-13T14:56:04.994738Z,457778627,"{'task_session_id': 1158, 'program': 'slf'}"
17079,run-program,8619,6.0,2017-12-13T14:56:05.880387Z,1050234956,"{'task_session_id': 1143, 'program': 'rfls', 'correct': False}"
17080,edit-program,8620,19.0,2017-12-13T14:56:06.550327Z,622020436,"{'task_session_id': 1159, 'program': 'slffl'}"
17081,edit-program,8621,19.0,2017-12-13T14:56:06.885866Z,797326805,"{'task_session_id': 1158, 'program': 'slfl'}"
17082,run-program,8617,14.0,2017-12-13T14:56:07.461600Z,595897295,"{'task_session_id': 1161, 'program': 'f', 'correct': False}"
17083,run-program,8618,19.0,2017-12-13T14:56:08.526384Z,435568293,"{'task_session_id': 1157, 'program': 'slflllsrf', 'correct': True}"
