id,student,task,solved,start,end,time_spent
362,3972,11,True,2017-11-23T07:37:22.801235Z,2017-11-23T07:39:19.292980Z,116
321,3978,13,True,2017-11-23T07:31:36.611669Z,2017-11-23T07:33:39.675349Z,123
325,3976,6,True,2017-11-23T07:31:55.682859Z,2017-11-23T07:35:24.410532Z,208
346,3978,51,True,2017-11-23T07:34:06.817810Z,2017-11-23T07:34:11.688466Z,4
349,3973,25,True,2017-11-23T07:34:38.061820Z,2017-11-23T07:34:48.728398Z,10
282,3973,49,True,2017-11-23T07:28:48.656313Z,2017-11-23T07:33:53.074057Z,304
372,3974,2,False,2017-11-23T07:38:51.210136Z,2017-11-23T07:38:51.210162Z,0
353,3982,26,True,2017-11-23T07:35:23.430237Z,2017-11-23T07:38:41.862252Z,198
331,3985,13,False,2017-11-23T07:32:20.173737Z,2017-11-23T07:35:59.950210Z,219
366,3971,1,True,2017-11-23T07:38:00.697386Z,2017-11-23T07:38:41.995138Z,41
336,3986,21,True,2017-11-23T07:32:36.839694Z,2017-11-23T07:37:48.127034Z,311
283,3980,23,True,2017-11-23T07:28:53.573591Z,2017-11-23T07:35:25.921665Z,392
365,3990,31,True,2017-11-23T07:37:51.743294Z,2017-11-23T07:38:46.071364Z,54
373,3975,57,True,2017-11-23T07:38:58.748356Z,2017-11-23T07:40:08.337308Z,69
343,3971,21,True,2017-11-23T07:33:49.373654Z,2017-11-23T07:36:57.262326Z,187
363,3971,11,True,2017-11-23T07:37:30.055588Z,2017-11-23T07:37:57.329882Z,27
351,3979,46,True,2017-11-23T07:35:02.396773Z,2017-11-23T07:36:27.086001Z,84
358,3979,18,True,2017-11-23T07:36:31.657622Z,2017-11-23T07:42:10.810823Z,339
360,3971,26,True,2017-11-23T07:36:59.500604Z,2017-11-23T07:37:28.497707Z,28
380,3972,31,False,2017-11-23T07:39:48.468775Z,2017-11-23T07:39:48.468792Z,0
378,3990,14,True,2017-11-23T07:39:33.557011Z,2017-11-23T07:39:46.593551Z,13
383,3990,19,True,2017-11-23T07:40:05.822888Z,2017-11-23T07:44:49.472885Z,283
367,3974,53,True,2017-11-23T07:38:03.423752Z,2017-11-23T07:38:41.950629Z,38
370,3971,31,True,2017-11-23T07:38:45.818633Z,2017-11-23T07:39:01.703923Z,15
376,3986,10,True,2017-11-23T07:39:18.394180Z,2017-11-23T07:39:36.908382Z,18
305,3975,13,True,2017-11-23T07:30:30.898786Z,2017-11-23T07:38:54.862821Z,503
377,3972,14,True,2017-11-23T07:39:22.909368Z,2017-11-23T07:39:36.558598Z,13
