"task_session_id","student_id","task_id","solved","given_up","start","end"
961b5e1a-a48c-44f7-819b-b902ab7410ca,f33bd91a-88bd-4bd5-bc80-c12ae9ec561b,"one-step-forward",False,False,"2017-05-25 03:07:10.010144","2017-05-25 03:07:24.329302"
70648a25-3453-4795-b421-836d179aa4fa,5c6264cc-4ef8-4c2b-991d-960ac96f314a,"stairs",True,False,"2017-05-25 01:17:03.699422","2017-05-25 01:27:52.005208"
cd90f30d-a776-4807-985d-c03e58c3d4f1,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"turning-right-and-left",True,False,"2017-05-25 14:26:44.135246","2017-05-25 14:29:05.032449"
b1fbbb48-0134-40e7-8bd4-52227af1bf55,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"n",True,False,"2017-05-25 14:39:09.735746","2017-05-25 14:41:46.295580"
cc8c87f6-2bf1-418f-9c71-f35cda1d70a7,b40d2b20-bd88-4e5c-855d-afb34542cd25,"diamond-cross",False,False,"2017-05-25 07:59:12.138516","2017-05-25 07:59:29.941817"
6253a148-2d02-4094-86aa-af25a1674b00,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"tunnel",True,False,"2017-05-25 14:30:54.369588","2017-05-25 14:36:20.455603"
e19d8639-1408-4655-a812-0d671c28509c,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"stairs",True,False,"2017-05-25 14:37:10.507118","2017-05-25 14:39:07.457936"
940fd44a-498d-4d8a-a56d-04b0f53b071a,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"shooting",True,False,"2017-05-25 14:30:09.952356","2017-05-25 14:30:51.412560"
961ac9e7-b5b4-454d-95ca-da3204f82bf7,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"steal-the-nose",True,False,"2017-05-25 14:41:49.869914","2017-05-25 14:43:49.404341"
9cb47fd9-19d9-4dab-91d5-7b0b8e95f207,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"ladder",True,False,"2017-05-25 14:43:55.038489","2017-05-25 14:44:39.101736"
0d94971b-439f-4003-a615-920063cdae7e,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"yellow-hint",True,False,"2017-05-25 14:44:42.150765","2017-05-25 14:45:46.653143"
f236ae81-0df4-49d6-90ad-ba9618907bcd,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"clean-your-path",True,False,"2017-05-25 14:45:49.469573","2017-05-25 14:48:16.314890"
82a6bb00-bbde-4d87-8869-bf84cde91413,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"collect-diamonds",True,False,"2017-05-25 14:48:21.824231","2017-05-25 14:50:57.516314"
7a8f5dc4-99ea-449f-90dd-2767727c0948,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"arrow",True,False,"2017-05-25 14:51:00.254648","2017-05-25 14:54:05.592924"
4a65f841-f2f7-48dc-8e59-9022739771e2,572dc580-fcb9-4ad0-8fe9-7eea9f85769f,"yellow-is-not-red",True,False,"2017-05-25 14:54:07.868844","2017-05-25 14:55:01.497524"
ba61a698-0a4a-4f00-8c12-fceb61c58521,cf5d6b7a-95bd-4edc-b0bd-b605fc38f35d,"one-step-forward",True,False,"2017-05-26 05:25:30.640945","2017-05-26 05:26:31.128258"
87afc18b-65fa-4341-82a8-1043229e68db,2485cbe0-a236-4378-873a-b92449c9af45,"turning-left",True,False,"2017-05-26 05:35:42.701137","2017-05-26 05:36:22.866316"
6ea44252-02d5-4e63-ba92-7700a6adb42f,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"turning-left",True,False,"2017-05-29 07:58:38.358311","2017-05-29 07:58:51.123047"
be3b9116-2862-4a19-b068-b005d2f3966f,a8cdfac5-c8fd-4f57-99ed-1591919e76b8,"one-step-forward",True,False,"2017-05-29 07:54:42.786303","2017-05-29 07:55:10.258895"
fdb3e861-7d33-4120-93d2-6555777cd664,2485cbe0-a236-4378-873a-b92449c9af45,"turning-right-and-left",True,False,"2017-05-26 05:36:27.361300","2017-05-26 05:36:41.370098"
2b02eff1-d35d-4e45-912e-a37c3081c243,2516e8e5-9b95-4748-aca4-16a5a4f4f8c8,"stairs",False,False,"2017-05-29 09:25:20.201098","2017-05-29 09:25:20.201098"
84884b11-c128-4e7b-9a26-ecd9e875816b,b778f455-3e9a-4950-b9c4-7930c4799b84,"ladder",True,False,"2017-05-29 08:11:20.766517","2017-05-29 08:12:02.093300"
51dd8220-57e4-4283-b0dc-f3a7e25e5ef8,7597fc6e-f52a-4028-9931-3e1f15831309,"shooting",True,False,"2017-05-26 07:49:55.977849","2017-05-26 07:50:58.130579"
578811db-aa86-44fb-a564-f80787e4a366,7597fc6e-f52a-4028-9931-3e1f15831309,"2diamonds-2meteorids",False,False,"2017-05-26 07:51:05.798960","2017-05-26 07:51:05.798960"
b62b238b-b9f1-48ca-a0b1-146bd0989c28,3e4b3174-c0e5-4d26-a8d1-55ba47b19674,"three-steps-forward",False,False,"2017-05-26 10:51:37.597362","2017-05-26 10:51:37.597362"
fc85d330-712d-4f65-b85c-2214bb6c1f1b,e80b52cf-679c-4e49-9946-da5cba14fac4,"turning-left-and-right",True,False,"2017-05-29 08:37:54.772060","2017-05-29 09:17:43.928985"
c2da06d5-74c4-4c06-98bb-cf39f6a1f489,e80b52cf-679c-4e49-9946-da5cba14fac4,"turning-right-and-left",True,False,"2017-05-29 08:33:15.268006","2017-05-29 08:33:41.120121"
a1a6ee5f-d2a9-4e3f-b66b-26b3ac777b81,2485cbe0-a236-4378-873a-b92449c9af45,"shooting",True,False,"2017-05-26 05:36:45.200890","2017-05-26 05:37:42.415259"
af39aaf0-b083-413c-8aa6-c54398867c95,db7a62e1-b319-4c7d-b892-9264baea70f2,"two-bit-instructions",False,False,"2017-05-27 13:15:29.330613","2017-05-27 13:45:19.991095"
209f4f1c-f1f4-42e0-ac16-04cb6e62283f,b778f455-3e9a-4950-b9c4-7930c4799b84,"turning-left",True,False,"2017-05-29 08:06:36.799841","2017-05-29 08:06:53.176961"
27b27f9f-d324-49ff-b162-8db1fe3c6862,db7a62e1-b319-4c7d-b892-9264baea70f2,"turning-right",False,False,"2017-05-27 13:07:12.676749","2017-05-27 14:04:26.854515"
3ae8ae11-c7be-4fb9-8643-76c4728fbaad,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"shooting",True,False,"2017-05-29 07:58:54.293525","2017-05-29 07:59:24.842689"
d5f87de8-8f28-47ea-996e-d9aede03c5eb,a8cdfac5-c8fd-4f57-99ed-1591919e76b8,"turning-right",True,False,"2017-05-29 07:55:16.015455","2017-05-29 07:55:57.547808"
73288371-51e8-4b2c-833a-93546d91e0f0,45bdb879-d417-4fc5-9b99-123123571216,"one-step-forward",True,False,"2017-05-27 15:40:58.927356","2017-05-27 15:41:33.421747"
740d4aca-e007-4bd9-8d96-83d1f225a913,a8cdfac5-c8fd-4f57-99ed-1591919e76b8,"beware-of-asteroid",False,False,"2017-05-29 07:56:02.982636","2017-05-29 07:56:02.982636"
30c21dbb-7b11-4d00-9b28-509a65e8b806,b778f455-3e9a-4950-b9c4-7930c4799b84,"diamond-on-right",True,False,"2017-05-29 08:03:05.540050","2017-05-29 08:05:14.092106"
fb5983ad-6416-4adf-9e53-e4e54062ed70,45bdb879-d417-4fc5-9b99-123123571216,"turning-right",False,False,"2017-05-27 15:41:46.194867","2017-05-27 15:42:45.889363"
f3305f50-dce6-4076-91b6-70664a9bdd1f,b778f455-3e9a-4950-b9c4-7930c4799b84,"meteoroids-on-left",True,False,"2017-05-29 08:50:25.743898","2017-05-29 08:52:21.751807"
4260026a-b7de-4623-9daf-e14fa65b6471,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"beware-of-asteroid",True,False,"2017-05-29 07:59:32.120438","2017-05-29 07:59:50.485154"
9745c4ab-628b-46a2-8947-28b90fa4430c,b778f455-3e9a-4950-b9c4-7930c4799b84,"zig-zag",True,False,"2017-05-29 08:12:06.676755","2017-05-29 08:13:09.870040"
e56f593f-e43e-4b16-80ea-7439872b7103,b778f455-3e9a-4950-b9c4-7930c4799b84,"one-step-forward",True,False,"2017-05-29 08:05:17.252675","2017-05-29 08:05:25.021947"
a22563ff-eb02-47e3-9125-34b9f9e7d771,d9c0f6d4-631b-4fa9-9b8f-65067055795b,"three-steps-forward",True,False,"2017-05-28 10:17:39.112612","2017-05-28 10:19:10.224016"
afd5b759-e7db-41e5-aeb8-fea82be4a8c3,a44b64ed-4f10-4cd9-b37b-6976d5e32058,"turning-right-and-left",False,False,"2017-05-28 13:08:08.780073","2017-05-28 13:08:08.780073"
40ca17bc-4ed6-4b66-8f6b-5dd9da6a6b22,2485cbe0-a236-4378-873a-b92449c9af45,"dont-forget-shot",True,False,"2017-05-26 05:37:44.734444","2017-05-26 05:39:39.638625"
eecb6390-a0d6-4f9f-8aac-8e6d93917f46,08909fcb-dadd-4975-b984-15d9f19e5dc6,"turning-left-and-right",False,False,"2017-05-29 02:19:27.945183","2017-05-29 02:19:27.945183"
e5ccdd55-c729-4f01-97d1-895a899ce792,e80b52cf-679c-4e49-9946-da5cba14fac4,"one-step-forward",True,False,"2017-05-29 07:49:21.160697","2017-05-29 07:57:45.559502"
d38398d7-7945-4d18-b7fa-249e9d50ec58,2485cbe0-a236-4378-873a-b92449c9af45,"beware-of-asteroid",True,False,"2017-05-26 05:39:41.971129","2017-05-26 05:39:55.692678"
f4a7fea0-9dbf-48b0-a219-d2552a14a98f,2485cbe0-a236-4378-873a-b92449c9af45,"find-the-path",False,False,"2017-05-26 05:39:59.017610","2017-05-26 05:39:59.017610"
40de195f-6ee7-4304-9f9e-dfa632ee5b4c,f5cd422f-a4f8-45bc-ac02-6bde78f4aa5c,"one-step-forward",True,False,"2017-05-26 07:31:11.434049","2017-05-26 07:32:58.946401"
579ce482-8584-4a6e-8d53-1f764f0c6739,f5cd422f-a4f8-45bc-ac02-6bde78f4aa5c,"turning-left-and-right",False,False,"2017-05-26 07:33:14.485634","2017-05-26 07:33:14.485634"
cddc80a3-d7b8-49a5-ab13-a1f6b1db56f9,b40d2b20-bd88-4e5c-855d-afb34542cd25,"turning-right",True,False,"2017-05-29 07:22:22.032326","2017-05-29 07:22:34.385515"
79f9aefd-d09f-4304-803f-e62eaf9f91c6,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"turning-left-and-right",True,False,"2017-05-29 07:59:54.281570","2017-05-29 08:00:10.722974"
4c11e696-415c-4d84-bb9d-7f5f1351405a,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"find-the-path",False,False,"2017-05-29 08:00:14.817647","2017-05-29 08:00:14.817647"
24c038b8-6924-402d-bf8c-a4d1db6f2deb,e80b52cf-679c-4e49-9946-da5cba14fac4,"turning-left",True,False,"2017-05-29 08:37:20.511148","2017-05-29 08:37:49.832415"
e8d2c984-466f-4d78-b1a5-be8509daaa7b,b5d2cbc8-06ce-4ef5-a0e8-d02e88504f86,"turning-left-and-right",True,False,"2017-05-26 07:34:09.127248","2017-05-26 07:35:13.806305"
2eb69709-d9dc-4c3e-b07a-def4d4af29a5,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"two-bit-instructions",False,False,"2017-05-29 08:00:29.295986","2017-05-29 08:00:29.295986"
01aa05c0-6bba-4408-95f3-22d58a6e4a85,b40d2b20-bd88-4e5c-855d-afb34542cd25,"three-steps-forward",True,False,"2017-05-29 07:22:38.121730","2017-05-29 07:22:46.290330"
cb630153-60da-4efe-bcfb-5662aa068456,b5d2cbc8-06ce-4ef5-a0e8-d02e88504f86,"turning-left",False,False,"2017-05-26 07:35:38.991252","2017-05-26 07:35:57.236074"
786c0e04-b340-4f36-9e6c-7dfe1dc8f7cd,7597fc6e-f52a-4028-9931-3e1f15831309,"one-step-forward",False,False,"2017-05-26 07:48:37.177756","2017-05-26 07:49:40.045871"
9dc32a4f-9580-4411-b3a4-8aa54a4d116d,b778f455-3e9a-4950-b9c4-7930c4799b84,"three-steps-forward",True,False,"2017-05-29 08:06:54.771407","2017-05-29 08:07:05.813944"
2a2ceea5-b8dd-4072-b67f-c68d32e94999,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"diamond-on-right",True,False,"2017-05-29 07:49:39.740223","2017-05-29 07:58:15.061432"
ce12f84d-7b47-4c6e-a683-192a1dc5b3ac,6f3d0cb2-25ff-46ef-8b94-6480207b0dbb,"one-step-forward",True,False,"2017-05-29 07:37:03.771109","2017-05-29 07:37:33.198926"
9b473f10-b6dc-4ea8-8848-04f3838b7b72,b778f455-3e9a-4950-b9c4-7930c4799b84,"clean-your-path",True,False,"2017-05-29 08:07:09.786300","2017-05-29 08:10:32.977441"
d597f6e6-e773-447c-a21a-5944610fdb5e,e80b52cf-679c-4e49-9946-da5cba14fac4,"three-steps-forward",True,False,"2017-05-29 07:46:39.383257","2017-05-29 07:49:14.391317"
c0cec573-ff20-480d-969b-4ff42651494a,e80b52cf-679c-4e49-9946-da5cba14fac4,"shot",True,False,"2017-05-29 08:29:37.085698","2017-05-29 08:30:12.722798"
e27e81b4-0f1a-4dd8-99e7-eb0175a6424e,f5b8abe2-d975-4cfc-bf2f-97f2e7fb1bf6,"turning-right-and-left",True,False,"2017-05-29 07:58:19.000923","2017-05-29 07:58:33.588706"
6e393b09-31d6-44e7-b46f-854f2ca8c475,e80b52cf-679c-4e49-9946-da5cba14fac4,"beware-of-asteroid",True,False,"2017-05-29 07:57:55.512154","2017-05-29 08:07:41.141396"
843ba421-36e9-4036-8b6c-5c654bc82bfb,b778f455-3e9a-4950-b9c4-7930c4799b84,"dont-forget-shot",True,False,"2017-05-29 08:05:30.205728","2017-05-29 08:06:05.053982"
6f517073-4864-4ccb-9002-ac508723827d,e356ca97-d7b6-415e-92bf-0e37c8d588bb,"turning-right-and-left",False,False,"2017-05-29 08:03:25.001679","2017-05-29 08:06:13.076849"
4e7fad4e-f8ac-4ab2-aea0-1834e043c70d,4d3da95d-3d54-42fd-90f2-7f7d462d724c,"turning-left",False,False,"2017-05-29 08:23:11.658575","2017-05-29 08:26:44.454572"
72336038-f530-4094-88ba-e0ec9e05ae58,63de3b9f-d6a7-4ab5-887f-2f115da8e6e2,"three-steps-forward",False,False,"2017-05-29 08:46:43.976054","2017-05-29 08:54:19.941536"
a91f1e8c-1eb0-45ad-9ae2-4bfde5170401,b778f455-3e9a-4950-b9c4-7930c4799b84,"big-slalom",True,False,"2017-05-29 08:27:57.934720","2017-05-29 08:28:53.160670"
b2e49f78-8a10-4cbd-99e1-0b91d8449945,b778f455-3e9a-4950-b9c4-7930c4799b84,"direction-change",True,False,"2017-05-29 08:25:53.092211","2017-05-29 08:27:53.102172"
8b2557a5-bc22-4123-837c-7961709bb76e,b778f455-3e9a-4950-b9c4-7930c4799b84,"wormhole-demo",True,False,"2017-05-29 08:06:10.397835","2017-05-29 08:06:33.331340"
e1e9fc1c-e794-4829-a59d-fc92de7b32ca,b778f455-3e9a-4950-b9c4-7930c4799b84,"tunnel",True,False,"2017-05-29 08:10:35.995484","2017-05-29 08:11:18.934520"
