name;turning-left-and-right;tunnel;zig-zag;triple-slalom;diamonds-with-signals;wormhole-cloud;two-color-tracks;shooting;diamond-lines;n;beware-of-asteroid;shot;ladder;wormhole-demo;yellow-is-not-red;2diamonds-2meteorids;five-diamonds;steal-the-nose;dont-forget-shot;three-steps-forward;turning-right-and-left;on-yellow-to-left;slalom-position-testing;edge-wormholes;diamond-on-right;diamonds-in-meteoroid-cloud;six-diamonds;cross-2;big-slalom;direction-change;bouncing-from-edge;plan-your-shooting;yellow-hint;diamond-path;colorful-flowers;turning-left;chessboard;find-the-path;arrow;turning-right;double-bend;edge-to-edge;one-step-forward;diamond-cross;stairs;direct-flight-ahead;diagonal-diamonds;color-slalom;two-bit-instructions;two-diamonds;red-shooting;diamonds-on-yellow;diagonal-lines;clean-your-path;triple-steps;color-navigation;follow-colors;meteoroids-on-left;collect-diamonds;diamond-ring;maneuvers-on-left;zig-zag-plus;triangle;rectangle;wave;surrounded-diamond;plus;meteoroids-and-wormholes;letter-h;stripes;narrow-passage;big-right-turn;big-left-turn;four-vs;stop-on-red;turning-in-square;double-track;blocked-wormhole;letter-d;yellow-squares;free-column;last-shot;letter-e;belgian-flag;mirror;diamond-in-house;
beware-of-asteroid;0.0;3.46410161514;1.73205080757;2.0;2.44948974278;1.41421356237;3.60555127546;2.44948974278;2.2360679775;3.31662479036;0.0;2.0;2.0;1.73205080757;3.0;3.74165738677;2.2360679775;1.73205080757;2.44948974278;2.44948974278;0.0;2.64575131106;2.44948974278;3.60555127546;1.73205080757;1.73205080757;2.44948974278;6.32455532034;3.16227766017;3.0;2.44948974278;2.64575131106;3.0;2.2360679775;4.24264068712;1.41421356237;2.2360679775;1.73205080757;5.0;1.41421356237;3.16227766017;3.87298334621;1.41421356237;2.0;3.0;2.0;3.74165738677;3.0;6.0827625303;2.64575131106;4.0;2.82842712475;6.7082039325;2.64575131106;3.60555127546;4.24264068712;5.09901951359;4.35889894354;3.31662479036;3.0;3.31662479036;4.35889894354;3.0;2.82842712475;3.16227766017;3.16227766017;1.73205080757;2.82842712475;3.16227766017;2.2360679775;2.44948974278;2.0;3.0;3.16227766017;3.46410161514;4.472135955;4.58257569496;2.64575131106;3.31662479036;3.0;2.64575131106;2.2360679775;2.44948974278;5.29150262213;7.21110255093;4.472135955;4.472135955
shot;2.0;3.46410161514;3.0;2.44948974278;3.16227766017;2.0;4.12310562562;1.41421356237;2.64575131106;3.31662479036;2.0;0.0;1.41421356237;2.2360679775;3.31662479036;4.24264068712;2.2360679775;1.73205080757;3.74165738677;1.41421356237;2.0;3.0;3.74165738677;4.35889894354;2.2360679775;1.73205080757;3.46410161514;6.32455532034;4.0;3.31662479036;3.74165738677;2.2360679775;3.31662479036;3.87298334621;4.69041575982;1.41421356237;2.64575131106;2.64575131106;5.19615242271;1.41421356237;4.0;4.58257569496;1.41421356237;2.82842712475;2.64575131106;2.0;4.24264068712;3.60555127546;6.0827625303;3.0;4.0;3.74165738677;7.4161984871;3.0;4.35889894354;4.69041575982;5.47722557505;4.58257569496;3.87298334621;3.60555127546;2.2360679775;5.38516480713;3.60555127546;2.0;3.46410161514;4.69041575982;3.60555127546;2.82842712475;2.44948974278;2.64575131106;2.82842712475;2.82842712475;3.60555127546;4.0;2.82842712475;5.09901951359;4.35889894354;2.2360679775;3.87298334621;2.64575131106;2.2360679775;3.31662479036;2.82842712475;6.0;7.74596669241;4.89897948557;4.89897948557
ladder;2.0;3.74165738677;2.64575131106;2.44948974278;3.16227766017;1.41421356237;4.12310562562;2.0;2.64575131106;2.64575131106;2.0;1.41421356237;0.0;2.64575131106;3.60555127546;4.472135955;2.2360679775;1.73205080757;3.74165738677;2.44948974278;2.0;3.0;3.46410161514;3.31662479036;2.64575131106;1.0;3.16227766017;6.32455532034;2.82842712475;3.31662479036;3.16227766017;1.0;3.31662479036;3.87298334621;4.69041575982;2.0;2.64575131106;1.73205080757;4.58257569496;2.0;2.82842712475;4.35889894354;1.41421356237;2.0;2.64575131106;2.0;4.24264068712;3.31662479036;6.2449979984;3.0;4.0;3.46410161514;7.28010988928;2.2360679775;3.31662479036;4.69041575982;5.47722557505;3.87298334621;3.31662479036;2.64575131106;3.0;4.35889894354;2.64575131106;1.41421356237;3.46410161514;4.69041575982;3.31662479036;2.82842712475;2.44948974278;1.73205080757;2.82842712475;2.0;2.64575131106;2.82842712475;3.16227766017;4.89897948557;3.87298334621;1.0;3.87298334621;2.64575131106;2.2360679775;3.31662479036;2.82842712475;6.0;7.74596669241;4.89897948557;4.89897948557
wormhole-demo;1.73205080757;3.60555127546;2.82842712475;2.2360679775;3.0;2.64575131106;3.46410161514;2.2360679775;2.44948974278;3.74165738677;1.73205080757;2.2360679775;2.64575131106;0.0;3.16227766017;4.58257569496;2.82842712475;1.41421356237;3.31662479036;2.2360679775;1.73205080757;3.46410161514;3.60555127546;4.24264068712;0.0;2.0;3.31662479036;6.2449979984;3.87298334621;3.74165738677;3.60555127546;3.16227766017;3.16227766017;2.44948974278;4.58257569496;2.2360679775;3.16227766017;2.82842712475;5.47722557505;1.0;3.87298334621;4.472135955;2.2360679775;2.64575131106;2.44948974278;2.64575131106;4.12310562562;3.46410161514;6.16441400297;3.46410161514;4.12310562562;3.60555127546;7.07106781187;3.74165738677;4.24264068712;4.58257569496;5.38516480713;4.69041575982;3.74165738677;3.46410161514;3.16227766017;4.89897948557;3.46410161514;3.0;3.31662479036;4.12310562562;2.82842712475;3.0;3.60555127546;2.44948974278;2.64575131106;2.64575131106;3.46410161514;3.87298334621;3.60555127546;5.0;4.69041575982;3.16227766017;3.74165738677;3.46410161514;3.16227766017;2.0;3.31662479036;5.56776436283;7.4161984871;5.19615242271;5.19615242271
yellow-is-not-red;3.0;4.35889894354;2.44948974278;1.73205080757;1.73205080757;3.31662479036;3.74165738677;3.60555127546;2.44948974278;4.24264068712;3.0;3.31662479036;3.60555127546;3.16227766017;0.0;4.58257569496;2.0;3.16227766017;3.87298334621;3.31662479036;3.0;2.0;3.0;4.89897948557;3.16227766017;3.46410161514;3.0;6.7082039325;4.58257569496;1.41421356237;4.12310562562;4.0;1.41421356237;3.74165738677;3.31662479036;3.0;2.44948974278;3.74165738677;5.65685424949;3.0;4.58257569496;3.16227766017;3.31662479036;3.60555127546;3.74165738677;2.2360679775;3.31662479036;1.41421356237;4.89897948557;2.0;3.0;2.64575131106;5.65685424949;4.0;4.472135955;3.31662479036;3.87298334621;5.09901951359;4.24264068712;4.24264068712;2.82842712475;5.47722557505;4.24264068712;3.87298334621;3.0;4.35889894354;3.74165738677;2.2360679775;3.31662479036;3.74165738677;2.64575131106;3.60555127546;4.24264068712;4.58257569496;1.73205080757;4.12310562562;5.09901951359;4.0;2.82842712475;2.44948974278;2.82842712475;3.74165738677;2.64575131106;4.12310562562;6.40312423743;2.2360679775;2.2360679775
2diamonds-2meteorids;3.74165738677;2.44948974278;4.35889894354;4.0;4.472135955;4.0;4.12310562562;4.0;5.0;4.79583152331;3.74165738677;4.24264068712;4.472135955;4.58257569496;4.58257569496;0.0;4.12310562562;4.58257569496;2.0;4.69041575982;3.74165738677;4.58257569496;4.0;5.38516480713;4.58257569496;4.35889894354;4.69041575982;7.07106781187;5.09901951359;4.79583152331;4.0;4.79583152331;5.38516480713;3.60555127546;5.65685424949;3.74165738677;4.35889894354;3.87298334621;4.12310562562;4.472135955;5.09901951359;5.56776436283;4.69041575982;4.24264068712;5.0;4.89897948557;5.29150262213;4.79583152331;6.7082039325;4.58257569496;5.65685424949;4.89897948557;7.4161984871;3.31662479036;5.38516480713;5.65685424949;6.32455532034;4.58257569496;4.12310562562;4.79583152331;4.79583152331;5.38516480713;4.79583152331;4.69041575982;4.69041575982;2.44948974278;3.60555127546;4.89897948557;4.69041575982;5.0;5.09901951359;4.24264068712;4.79583152331;5.09901951359;5.09901951359;5.29150262213;5.56776436283;4.79583152331;5.0;5.0;4.79583152331;3.87298334621;4.472135955;6.0;7.74596669241;5.29150262213;5.29150262213
five-diamonds;2.2360679775;4.12310562562;2.44948974278;1.0;2.2360679775;1.73205080757;3.16227766017;3.0;2.44948974278;2.44948974278;2.2360679775;2.2360679775;2.2360679775;2.82842712475;2.0;4.12310562562;0.0;2.0;3.60555127546;2.2360679775;2.2360679775;2.0;3.0;3.74165738677;2.82842712475;2.44948974278;3.0;6.0827625303;3.31662479036;2.0;3.31662479036;2.44948974278;2.44948974278;3.74165738677;3.87298334621;1.73205080757;2.0;2.82842712475;4.472135955;2.2360679775;3.31662479036;3.74165738677;2.2360679775;2.2360679775;2.44948974278;1.73205080757;3.60555127546;2.0;5.47722557505;2.0;3.60555127546;3.0;6.48074069841;2.44948974278;3.46410161514;3.87298334621;4.58257569496;3.74165738677;2.82842712475;2.82842712475;2.44948974278;4.472135955;2.82842712475;2.2360679775;2.64575131106;4.12310562562;3.46410161514;2.64575131106;3.0;2.44948974278;2.64575131106;2.2360679775;2.82842712475;3.31662479036;2.2360679775;4.12310562562;3.46410161514;2.44948974278;3.16227766017;2.44948974278;2.44948974278;3.74165738677;2.2360679775;5.0;7.0;3.31662479036;3.31662479036
steal-the-nose;1.73205080757;3.87298334621;2.82842712475;1.73205080757;3.0;1.73205080757;3.16227766017;2.2360679775;2.44948974278;2.44948974278;1.73205080757;1.73205080757;1.73205080757;1.41421356237;3.16227766017;4.58257569496;2.0;0.0;3.60555127546;1.73205080757;1.73205080757;3.16227766017;3.60555127546;3.46410161514;1.41421356237;1.41421356237;3.31662479036;5.9160797831;3.0;3.46410161514;3.31662479036;2.0;3.16227766017;3.16227766017;4.58257569496;1.73205080757;2.82842712475;2.44948974278;4.69041575982;1.0;3.0;4.472135955;1.73205080757;1.73205080757;1.41421356237;2.2360679775;4.12310562562;3.16227766017;6.16441400297;3.16227766017;4.12310562562;3.60555127546;7.21110255093;2.82842712475;3.46410161514;4.58257569496;5.38516480713;3.74165738677;2.82842712475;2.44948974278;2.82842712475;4.24264068712;2.44948974278;1.73205080757;3.0;4.35889894354;3.16227766017;3.0;3.31662479036;1.41421356237;2.64575131106;1.73205080757;2.44948974278;3.0;3.31662479036;4.79583152331;3.46410161514;2.0;3.74165738677;3.16227766017;2.82842712475;2.82842712475;3.0;5.74456264654;7.54983443527;5.0;5.0
dont-forget-shot;2.44948974278;2.44948974278;3.0;3.16227766017;3.46410161514;3.16227766017;3.60555127546;3.46410161514;3.87298334621;4.35889894354;2.44948974278;3.74165738677;3.74165738677;3.31662479036;3.87298334621;2.0;3.60555127546;3.60555127546;0.0;4.24264068712;2.44948974278;3.87298334621;2.82842712475;4.35889894354;3.31662479036;3.31662479036;3.46410161514;6.78232998313;4.0;4.12310562562;2.82842712475;4.12310562562;4.35889894354;1.73205080757;4.89897948557;3.16227766017;3.60555127546;2.64575131106;4.35889894354;3.46410161514;4.0;4.58257569496;3.74165738677;3.16227766017;4.35889894354;4.0;4.472135955;3.87298334621;6.40312423743;3.87298334621;4.89897948557;3.74165738677;6.7082039325;3.0;4.35889894354;4.89897948557;5.65685424949;4.35889894354;3.60555127546;3.87298334621;4.58257569496;4.35889894354;3.87298334621;4.24264068712;4.0;1.41421356237;1.73205080757;4.0;4.24264068712;3.87298334621;4.0;3.16227766017;3.87298334621;4.0;4.69041575982;4.69041575982;5.38516480713;4.12310562562;4.12310562562;4.35889894354;4.12310562562;2.2360679775;3.74165738677;5.29150262213;7.21110255093;4.89897948557;4.89897948557
three-steps-forward;2.44948974278;4.24264068712;3.60555127546;2.44948974278;3.46410161514;2.44948974278;3.87298334621;2.44948974278;3.0;3.31662479036;2.44948974278;1.41421356237;2.44948974278;2.2360679775;3.31662479036;4.69041575982;2.2360679775;1.73205080757;4.24264068712;0.0;2.44948974278;3.31662479036;4.24264068712;4.79583152331;2.2360679775;2.64575131106;4.0;6.16441400297;4.472135955;3.60555127546;4.24264068712;3.0;3.60555127546;4.12310562562;4.89897948557;1.41421356237;3.0;3.60555127546;5.56776436283;1.41421356237;4.472135955;5.0;2.0;3.16227766017;2.2360679775;2.44948974278;4.472135955;3.87298334621;6.2449979984;3.31662479036;4.472135955;4.24264068712;7.68114574787;3.60555127546;4.79583152331;4.89897948557;5.65685424949;4.79583152331;3.87298334621;3.87298334621;2.2360679775;5.74456264654;3.87298334621;2.44948974278;3.46410161514;4.89897948557;4.12310562562;3.46410161514;3.46410161514;3.0;3.16227766017;3.16227766017;3.87298334621;4.472135955;3.16227766017;5.29150262213;4.12310562562;3.0;4.12310562562;3.31662479036;3.0;3.87298334621;3.16227766017;6.16441400297;7.87400787401;5.09901951359;5.09901951359
turning-right-and-left;0.0;3.46410161514;1.73205080757;2.0;2.44948974278;1.41421356237;3.60555127546;2.44948974278;2.2360679775;3.31662479036;0.0;2.0;2.0;1.73205080757;3.0;3.74165738677;2.2360679775;1.73205080757;2.44948974278;2.44948974278;0.0;2.64575131106;2.44948974278;3.60555127546;1.73205080757;1.73205080757;2.44948974278;6.32455532034;3.16227766017;3.0;2.44948974278;2.64575131106;3.0;2.2360679775;4.24264068712;1.41421356237;2.2360679775;1.73205080757;5.0;1.41421356237;3.16227766017;3.87298334621;1.41421356237;2.0;3.0;2.0;3.74165738677;3.0;6.0827625303;2.64575131106;4.0;2.82842712475;6.7082039325;2.64575131106;3.60555127546;4.24264068712;5.09901951359;4.35889894354;3.31662479036;3.0;3.31662479036;4.35889894354;3.0;2.82842712475;3.16227766017;3.16227766017;1.73205080757;2.82842712475;3.16227766017;2.2360679775;2.44948974278;2.0;3.0;3.16227766017;3.46410161514;4.472135955;4.58257569496;2.64575131106;3.31662479036;3.0;2.64575131106;2.2360679775;2.44948974278;5.29150262213;7.21110255093;4.472135955;4.472135955
