"task_instance_id","student_id","task_id","time_start","time_end","time_spent","solved","given_up","attempts","solution_size","reported_flow","instructions_ids","session_id","session_order"
120,29,1,"2016-07-25 05:02:43.753858","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",42,42
121,30,1,"2016-07-27 14:57:56.374268","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",43,43
122,31,56,"2016-07-28 00:04:41.561052","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",44,44
103,20,1,"2016-07-22 01:35:29.839431","2016-07-22 01:35:55.211525",25,True,False,2,4,"EASY","[11, 13, 12, 1, 14, 15]",35,35
104,20,3,"2016-07-22 01:36:01.369159","2016-07-22 01:36:13.684707",13,True,False,1,6,"DIFFICULT","[2]",35,35
105,20,20,"2016-07-22 01:36:15.153699","",0,False,False,0,"","UNKNOWN","[16, 3]",35,35
106,25,56,"2016-07-24 04:16:12.705096","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",36,36
162,44,16,"2016-08-18 03:38:53.184784","2016-08-18 03:40:10.145727",77,True,False,4,7,"EASY","[16, 3]",71,71
156,38,55,"2016-08-17 14:36:49.843265","2016-08-17 14:37:10.745158",21,True,False,1,7,"EASY","[]",58,58
123,1,1,"2016-07-30 05:08:01.622602","2016-07-30 05:28:54.983238",1252,True,False,2,4,"EASY","[11, 13, 12, 1, 14, 15]",45,45
107,26,56,"2016-07-24 11:09:08.538684","2016-07-24 11:09:51.073588",42,True,False,2,3,"EASY","[11, 13, 12, 1, 14, 15]",37,37
124,1,3,"2016-07-30 05:28:58.047740","",0,False,False,0,"","UNKNOWN","[2]",45,45
125,32,56,"2016-08-03 09:26:24.506457","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",46,46
108,26,2,"2016-07-24 11:09:57.645878","2016-07-24 11:10:32.780038",35,True,False,1,7,"EASY","[2]",37,37
109,26,25,"2016-07-24 11:10:34.650823","2016-07-24 11:11:00.920342",26,False,False,2,5,"UNKNOWN","[16, 3]",37,37
110,14,56,"2016-07-24 14:10:32.098271","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",38,38
127,10,19,"2016-08-04 03:39:53.691316","",0,False,False,0,"","UNKNOWN","[4, 5]",48,48
128,32,1,"2016-08-08 14:11:04.646244","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",49,49
129,34,56,"2016-08-08 14:11:06.724975","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",50,50
130,35,56,"2016-08-09 01:57:38.500760","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",51,51
111,27,1,"2016-07-24 15:47:08.084539","2016-07-24 15:48:50.405943",102,True,False,3,4,"EASY","[11, 13, 12, 1, 14, 15]",39,39
131,36,56,"2016-08-10 02:41:32.747593","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",52,52
132,10,54,"2016-08-11 03:20:18.620727","",0,False,False,0,"","UNKNOWN","[19, 4, 5]",53,53
112,27,2,"2016-07-24 15:48:55.512619","2016-07-24 15:49:28.814389",33,True,False,1,7,"EASY","[2]",39,39
133,37,56,"2016-08-15 06:02:49.524661","",0,False,False,0,"","UNKNOWN","[11, 13, 12, 1, 14, 15]",54,54
